artist,style,url
"George Barret RA, ca. 1728/32–1784, Irish",Academic Art,https://artsandculture.google.com/asset/wooded-landscape-with-a-boy-and-his-dog-george-barret-ra-ca-1728-32–1784-irish/UAE7ezjB3mm_Yg
José Ferraz de Almeida Júnior,Academic Art,https://artsandculture.google.com/asset/a-pintura-alegoria-almeida-júnior/EAElrSFZEVDwZg
Frederic Leighton,Academic Art,https://artsandculture.google.com/asset/lindos-rhodes-lord-frederic-leighton/1QFDt24u-7U4bQ
Raja Ravi Varma,Academic Art,https://artsandculture.google.com/asset/maharana-fateh-singh-of-mewar-raja-ravi-varma/pQFgQIk9i2DEkQ
Ary Scheffer,Academic Art,https://artsandculture.google.com/asset/heavenly-and-earthly-love-scheffer-ary/wgEpSKCr_5SmPw
Domenico Morelli,Academic Art,https://artsandculture.google.com/asset/ritratto-di-teresa-maglione-oneto-domenico-morelli/_gE78N57pSELVA
José Ferraz de Almeida Júnior,Academic Art,https://artsandculture.google.com/asset/senhora-cubana-josé-ferraz-de-almeida-júnior/rQH2ATCp_92Hjw
Raja Ravi Varma,Academic Art,https://artsandculture.google.com/asset/sir-thanjavur-madhava-row-raja-ravi-varma/-wEyqxMjOMJfbw
Édouard Detaille,Academic Art,https://artsandculture.google.com/asset/untitled-jean-baptiste-edouard-detaille/4QG3gFD9RrvvmQ
George Frederic Watts,Academic Art,https://artsandculture.google.com/asset/artemis-and-hyperion-george-frederic-watts/rQFi0l1C5KFX9w
George Jones,Academic Art,https://artsandculture.google.com/asset/studies-of-military-accoutrements-a-study-for-the-battle-of-waterloo-george-jones-1786–1869-british/FAF8RLwcdQqpQQ
Édouard Detaille,Academic Art,https://artsandculture.google.com/asset/french-cuirassier-édouard-detaille/PAFTJv0gr6qgKg
Frederic Leighton,Academic Art,https://artsandculture.google.com/asset/lucia-frederic-lord-leighton/OQE0EpgAE8ofiQ
Charles Joshua Chaplin,Academic Art,https://artsandculture.google.com/asset/girl-in-white-dress-charles-chaplin-french-1825-1891/TQFzjqoKR2ZIwQ
Raja Ravi Varma,Academic Art,https://artsandculture.google.com/asset/portrait-of-seth-lachman-das-cie-raja-ravi-varma/YAFwlK4Ggfes_w
Raja Ravi Varma,Academic Art,https://artsandculture.google.com/asset/four-portrait-studies-raja-ravi-varma/DAG66tnSWotPNA
Alexandre Falguière,Academic Art,https://artsandculture.google.com/asset/man-smoking-a-pipe-jean-alexandre-joseph-falguière/iAGqTMjCpdNb_Q
Arthur William Devis,Academic Art,https://artsandculture.google.com/asset/james-duff-arthur-william-devis/KwEql_XiM0I9Zg
Rodolfo Amoedo,Academic Art,https://artsandculture.google.com/asset/atelier-de-amoedo-em-paris-rodolfo-amoedo/KwFfRXFxZg0auw
Solomon Joseph Solomon,Academic Art,https://artsandculture.google.com/asset/the-field-the-artist-s-daughter-on-a-pony-solomon-j-solomon/wQGbEOp5p4ST3g
Karl Rudolf Sohn,Academic Art,https://artsandculture.google.com/asset/prince-arthur-duke-of-connaught-1850-1942-carl-rudolph-sohn-1845-1908/ewG1Qwbh_ahS2g
Anselm Feuerbach,Academic Art,https://artsandculture.google.com/asset/seaside-of-porto-d-anzio-anselm-feuerbach/UAFvQBOFnv2p3A
George Frederic Watts,Academic Art,https://artsandculture.google.com/asset/alice-george-frederic-watts/uQFndIuDRUiAPQ
Francesco Hayez,Academic Art,https://artsandculture.google.com/asset/bagnante-francesco-hayez/tAGGuer6_Mm9aA
Alfred Emile Stevens,Academic Art,https://artsandculture.google.com/asset/visit-to-the-studio/yAH1Fr9B_D38BA
Édouard Detaille,Academic Art,https://artsandculture.google.com/asset/attaque-d-une-voie-de-chemin-de-fer-edouard-detaille-paris-1848-paris-1912/0wGAyQWwbgdfQg
Raja Ravi Varma,Academic Art,https://artsandculture.google.com/asset/ikkavu-thampuran-raja-ravi-varma/pgHHpkLegDDjDg
Raja Ravi Varma,Academic Art,https://artsandculture.google.com/asset/senior-rani-lakshmi-bayi-raja-ravi-varma/iwFUbmi6Ylhd9A
Thomas Dewing,Academic Art,https://artsandculture.google.com/asset/the-socerer-s-slave-thomas-wilmer-dewing/ZgFAeAZciJtYKQ
Ary Scheffer,Academic Art,https://artsandculture.google.com/asset/portreait-of-madame-victor-place-scheffer-ary/bQHTHrRlyLR7jg
Claude Joseph Vernet,Academic Art,https://artsandculture.google.com/asset/an-italianate-harbour-scene/awFzJoKC4w8LPg
Raja Ravi Varma,Academic Art,https://artsandculture.google.com/asset/sri-balkrishna-lalji-raja-ravi-varma/WwEFvaoc-nFw3Q
Claude Joseph Vernet,Academic Art,https://artsandculture.google.com/asset/a-mediterranean-coastal-view-in-the-style-of-claude-joseph-vernet/uwGpySIL5N2BAQ
Frederik Christian Lund,Academic Art,https://artsandculture.google.com/asset/the-dutch-fleet-commanded-by-admiral-opdam-passing-the-sound-on-29-october-1658-during-the-swedish-wars-1657-60-1872-frederik-christian-lund/1gHSYlfHm-5e-g
Marià Fortuny,Academic Art,https://artsandculture.google.com/asset/portrait-of-the-engraver-roselló-fortuny-marsal-marià/9AGPubhWY3m0iw
Alfred Emile Stevens,Academic Art,https://artsandculture.google.com/asset/de-weduwe-alfred-stevens/DQEfbLp2e1WikA
José Ferraz de Almeida Júnior,Academic Art,https://artsandculture.google.com/asset/nhá-chica-almeida-júnior/mgEBUa51XP5aSA
Ary Scheffer,Academic Art,https://artsandculture.google.com/asset/the-remnant-of-the-garrison-of-missolonghi-scheffer-ary/PgEKVPNPJlIadA
Jan August Hendrik Leys,Academic Art,https://artsandculture.google.com/asset/an-interior-of-the-17th-century-henri-leys-baron/QAH9nq4UMhI1JA
