artist,style,url,status
artist,style,url,failed
Patrick Heron,Expressionism,https://uploads3.wikiart.org/images/patrick-heron/harbour-window-with-two-figures-st-ives-july-1950-1950.jpg!Large.jpg,downloaded
Luca Giordano,Baroque,https://uploads7.wikiart.org/images/luca-giordano/flight-into-egypt-1685.jpg!Large.jpg,downloaded
Ivan Aivazovsky,Romanticism,https://uploads5.wikiart.org/images/ivan-aivazovsky/the-roads-at-kronstadt-1840.jpg!Large.jpg,downloaded
Theodor Severin Kittelsen,Neo-Romanticism,https://uploads1.wikiart.org/images/theodor-severin-kittelsen/krigen-mellom-froskene-og-musene-01-1885.jpg!Large.jpg,downloaded
Peter Phillips,Pop Art,https://uploads8.wikiart.org/images/peter-phillips/untitled-1964.jpg!Large.jpg,downloaded
Camille Corot,Realism,https://uploads5.wikiart.org/images/camille-corot/view-of-pincio-italy.jpg!Large.jpg,downloaded
Eduard Isabekyan,Symbolism,https://uploads0.wikiart.org/images/eduard-isabekyan/portrait-of-derenik-demirchyan.jpg!Large.jpg,downloaded
Eyvind Earle,Magic Realism,https://uploads4.wikiart.org/images/eyvind-earle/purple-dawn.jpg!Large.jpg,downloaded
Félix Vallotton,Magic Realism,https://uploads0.wikiart.org/images/felix-vallotton/the-dordogne-with-carrenac-1925.jpg!Large.jpg,downloaded
Konstantin Yuon,Post-Impressionism,https://uploads0.wikiart.org/images/konstantin-yuon/the-mill-october-ligachevo-1913.jpg!Large.jpg,downloaded
Henri Fantin-Latour,Realism,https://uploads0.wikiart.org/images/henri-fantin-latour/self-portrait-1860.jpg!Large.jpg,downloaded
Rune Jansson,Art Informel,https://uploads1.wikiart.org/images/rune-jansson/havskrumelur-2005.jpg!Large.jpg,downloaded
Tihamer Gyarmathy,Abstract Art,https://uploads8.wikiart.org/images/tihamer-gyarmathy/looking-upwards-1973.jpg,downloaded
Frans Hals,Baroque,https://uploads3.wikiart.org/images/frans-hals/anna-van-der-aar-1626.jpg!Large.jpg,downloaded
Jean-Leon Gerome,Romanticism,https://uploads8.wikiart.org/images/jean-leon-gerome/nominor-leo.jpg!Large.jpg,downloaded
Frans Hals,Baroque,https://uploads1.wikiart.org/images/frans-hals/portrait-of-a-man-4.jpg!Large.jpg,downloaded
Kazimir Malevich,Neo-Suprematism,https://uploads3.wikiart.org/images/kazimir-malevich/girls-in-the-fields-1932.jpg!Large.jpg,downloaded
Taras Shevchenko,Romanticism,https://uploads8.wikiart.org/images/taras-shevchenko/seashore-of-the-aral-sea-1848.jpg!Large.jpg,downloaded
Josef Sima,Surrealism,https://uploads4.wikiart.org/images/josef-ma/composition-1950.jpg,downloaded
Arkhip Kuindzhi,Impressionism,https://uploads0.wikiart.org/images/arkhip-kuindzhi/sunset-in-the-forest-1.jpg!Large.jpg,downloaded
Frederic Remington,Impressionism,https://uploads7.wikiart.org/images/frederic-remington/a-dash-for-the-timber-1889.jpg!Large.jpg,downloaded
John Singer Sargent,Realism,https://uploads3.wikiart.org/images/john-singer-sargent/the-archbishop-of-canterbury-randall-thomas-davidson-1910.jpg!Large.jpg,downloaded
Pyotr Konchalovsky,Expressionism,https://uploads3.wikiart.org/images/pyotr-konchalovsky/landscape-at-siena-1912.jpg,downloaded
José Guerrero,Abstract Expressionism,https://uploads1.wikiart.org/images/jose-guerrero/red-1987.jpg,downloaded
Jules Dupré,Impressionism,https://uploads3.wikiart.org/images/jules-dupre/shipping-in-a-breeze.jpg!Large.jpg,downloaded
Camille Pissarro,Impressionism,https://uploads5.wikiart.org/images/camille-pissarro/the-louvre-morning-snow-effect-1903.jpg!Large.jpg,downloaded
Lucas Cranach the Elder,Northern Renaissance,https://uploads4.wikiart.org/images/lucas-cranach-the-elder/portraits-of-johann-i-and-frederick-iii-the-wise-electors-of-saxony-1533.jpg!Large.jpg,downloaded
J.M.W. Turner,Romanticism,https://uploads7.wikiart.org/images/william-turner/the-fall-of-an-avalanche-in-the-grisons.jpg!Large.jpg,downloaded
Camille Corot,Realism,https://uploads1.wikiart.org/images/camille-corot/banks-of-a-river.jpg!Large.jpg,downloaded
Rembrandt van Rijn,Baroque,https://uploads8.wikiart.org/images/rembrandt/landscape-with-a-canal-and-swan-1650.jpg!Large.jpg,downloaded
Nicolae Grigorescu,Realism,https://uploads6.wikiart.org/images/nicolae-grigorescu/french-peasant-woman-with-a-bag-on-her-back.jpg!Large.jpg,downloaded
Xu Beihong,Romanticism,https://uploads3.wikiart.org/images/xu-beihong/a-portrait-of-lim-loh.jpg!Large.jpg,downloaded
Camille Pissarro,Impressionism,https://uploads3.wikiart.org/images/camille-pissarro/the-fair-by-the-church-of-saint-jacques-dieppe-1901.jpg!Large.jpg,downloaded
Winslow Homer,Realism,https://uploads3.wikiart.org/images/winslow-homer/the-blue-boat-1892.jpg!Large.jpg,downloaded
Helen Frankenthaler,Lyrical Abstraction,https://uploads7.wikiart.org/images/helen-frankenthaler/swan-lake-2-1961.jpg!Large.jpg,downloaded
Antonio Areal,Pop Art,https://uploads3.wikiart.org/images/antonio-areal/untitled-1.jpg,downloaded
Vladimir Lukich Borovikovsky,Rococo,https://uploads5.wikiart.org/images/vladimir-borovikovsky/portrait-of-grand-duke-konstantin-pavlovich-1795.jpg!Large.jpg,downloaded
