blue_.png
Noise Level,random_perturbation,salt_and_pepper,blur,gaussian,rectangles,swirl
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1,0.6586,1.1703,0.0000,0.6588,0.0603,0.0000
0.25,1.6667,2.0236,0.0000,1.0554,0.0858,0.0000
0.5,3.3843,2.5839,0.0000,1.4916,0.1551,0.0000
1.0,5.5219,2.9959,0.0000,2.1144,0.2995,0.0000
2.0,6.5681,3.7097,0.0000,3.0267,0.4926,0.0000
3.0,6.8387,4.4917,0.0000,3.6863,0.3745,0.0000

four_colors1_.png
Noise Level,random_perturbation,salt_and_pepper,blur,gaussian,rectangles,swirl
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1,0.9656,1.0644,0.0000,0.9667,0.0909,0.0392
0.25,2.1557,1.7478,0.0180,1.4506,0.1254,0.0511
0.5,3.8081,2.1596,0.0691,1.9552,0.2264,0.0726
1.0,5.5526,2.5352,0.1380,2.6381,0.4162,0.2030
2.0,6.5676,3.2277,0.1907,3.5052,0.7609,0.5008
3.0,6.8726,3.9118,0.2113,4.0651,0.6722,0.5838

four_colors4_.png
Noise Level,random_perturbation,salt_and_pepper,blur,gaussian,rectangles,swirl
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1,0.8948,1.1764,0.0000,0.8939,0.0981,0.0950
0.25,2.0283,1.9439,0.0193,1.3523,0.1388,0.1227
0.5,3.6730,2.3796,0.0651,1.8351,0.2343,0.1715
1.0,5.4717,2.7543,0.1387,2.4990,0.4742,0.3439
2.0,6.5287,3.4372,0.1954,3.3610,0.8038,0.5510
3.0,6.8712,4.1323,0.2167,3.9335,0.7219,0.6365

gaussian_noise100_.png
Noise Level,random_perturbation,salt_and_pepper,blur,gaussian,rectangles,swirl
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1,0.2555,0.1709,0.0005,0.2557,0.0901,0.3229
0.25,1.2563,0.4132,1.8809,0.5869,0.1512,0.4965
0.5,3.1279,0.7791,4.0443,1.0532,0.3426,0.8945
1.0,5.0189,1.4338,5.1488,1.7885,0.9439,2.8344
2.0,6.1078,2.5119,5.5030,2.7790,2.8691,5.8692
3.0,6.4609,3.3972,5.5340,3.4144,4.1418,5.9544

gaussian_noise200_.png
Noise Level,random_perturbation,salt_and_pepper,blur,gaussian,rectangles,swirl
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1,0.2085,0.1692,0.0006,0.2080,0.0983,0.3768
0.25,1.1159,0.4047,2.1903,0.4931,0.1664,0.5826
0.5,3.0925,0.7763,4.7189,0.9231,0.3783,1.0379
1.0,5.2423,1.4393,6.0325,1.6457,1.0816,3.3380
2.0,6.4626,2.5741,6.4612,2.7122,3.2393,6.8937
3.0,6.8643,3.5151,6.4972,3.4070,4.7587,6.9839

nine_colors_.png
Noise Level,random_perturbation,salt_and_pepper,blur,gaussian,rectangles,swirl
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1,1.0306,0.9809,0.0000,1.0316,0.0777,0.0004
0.25,2.4157,1.5781,0.0282,1.5940,0.0959,0.0028
0.5,4.1855,1.9543,0.0975,2.1882,0.1846,0.0207
1.0,5.7868,2.3799,0.1909,2.9598,0.3578,0.2804
2.0,6.6702,3.1109,0.2506,3.8811,0.6576,0.5892
3.0,6.9593,3.8227,0.2690,4.4270,0.5840,0.6752

rectangles1_.png
Noise Level,random_perturbation,salt_and_pepper,blur,gaussian,rectangles,swirl
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1,0.8817,1.1393,0.0000,0.8823,0.0886,0.0016
0.25,1.9626,1.9164,0.0530,1.3043,0.1135,0.0081
0.5,3.7824,2.4212,0.1722,1.7700,0.2084,0.0408
1.0,5.6664,2.8827,0.2989,2.4643,0.4032,0.2840
2.0,6.6594,3.6920,0.3538,3.4359,0.7666,0.7122
3.0,6.9626,4.4537,0.3681,4.0624,0.7824,0.8229

three_stripes2_.png
Noise Level,random_perturbation,salt_and_pepper,blur,gaussian,rectangles,swirl
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1,0.6712,1.3020,0.0000,0.6704,0.1027,0.0005
0.25,1.6679,2.2004,0.0210,1.0703,0.1488,0.0036
0.5,3.3242,2.7366,0.0777,1.4992,0.2634,0.0284
1.0,5.3558,3.0992,0.1915,2.1117,0.5389,0.3965
2.0,6.5591,3.8005,0.3066,2.9924,0.9930,0.8705
3.0,6.9280,4.5429,0.3519,3.6027,0.9034,0.9882

two_colors_.png
Noise Level,random_perturbation,salt_and_pepper,blur,gaussian,rectangles,swirl
0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1,0.7989,1.1560,0.0000,0.7978,0.0863,0.0444
0.25,1.9011,1.9387,0.0064,1.2452,0.1223,0.0563
0.5,3.6867,2.4004,0.0315,1.7125,0.2179,0.0773
1.0,5.5665,2.7715,0.0658,2.3893,0.4348,0.1540
2.0,6.5663,3.5088,0.0869,3.3417,0.6710,0.2408
3.0,6.8704,4.2833,0.0947,3.9669,0.5550,0.2815

